epoch,phase,bucket_acc,bucket_ce,bucket_distance_l1,bucket_entropy,bucket_expectation_l1,bucket_index_l1,bucket_prior_kl,calorie_from_map_l1,calorie_mae,calorie_map,calorie_map_l1,calorie_mse,calorie_rmse,loss,loss_contrast,loss_reconstruction,loss_total,lr,scheduler_metric,segmentation,segmentation_dice,time_sec,total_calories,volume,volume_mae
1,selfsup,,,,,,,,,,,,,,,2.109526546091162,0.3051442100956876,2.262098655905775,,,,,,,,
2,selfsup,,,,,,,,,,,,,,,0.9503223891219784,0.2391002321595786,1.0698725046009143,,,,,,,,
3,selfsup,,,,,,,,,,,,,,,0.5597883081564339,0.2295926054639201,0.674584611929873,,,,,,,,
4,selfsup,,,,,,,,,,,,,,,0.4003154488020046,0.2108938804557246,0.5057623897508908,,,,,,,,
5,selfsup,,,,,,,,,,,,,,,0.3495039621828705,0.1975664860538898,0.4482872051897869,,,,,,,,
6,selfsup,,,,,,,,,,,,,,,0.3080551557002529,0.1843407588700453,0.4002255355158159,,,,,,,,
7,selfsup,,,,,,,,,,,,,,,0.2695765669948311,0.1835660930442553,0.3613596145984947,,,,,,,,
8,selfsup,,,,,,,,,,,,,,,0.2490588300811347,0.172006229359296,0.3350619458222902,,,,,,,,
9,selfsup,,,,,,,,,,,,,,,0.2236469146064532,0.1606661433013536,0.3039799868579834,,,,,,,,
10,selfsup,,,,,,,,,,,,,,,0.2067396369191908,0.1529131584189912,0.2831962166293975,,,,,,,,
11,selfsup,,,,,,,,,,,,,,,0.2032506696639522,0.1518292528006338,0.2791652959841554,,,,,,,,
12,selfsup,,,,,,,,,,,,,,,0.1907642487716931,0.1438113267543495,0.2626699126696074,,,,,,,,
13,selfsup,,,,,,,,,,,,,,,0.1825672334400556,0.1386450151762654,0.2518897413887003,,,,,,,,
14,selfsup,,,,,,,,,,,,,,,0.1843473085713002,0.1369326779598831,0.2528136477515261,,,,,,,,
15,selfsup,,,,,,,,,,,,,,,0.1815577824750254,0.1267713827471579,0.2449434742091163,,,,,,,,
16,selfsup,,,,,,,,,,,,,,,0.1712165504533757,0.1312067476652001,0.236819924926886,,,,,,,,
17,selfsup,,,,,,,,,,,,,,,0.1669989924437256,0.1263540539369788,0.2301760198928976,,,,,,,,
18,selfsup,,,,,,,,,,,,,,,0.1655226860956479,0.128555026145712,0.2298002001098407,,,,,,,,
19,selfsup,,,,,,,,,,,,,,,0.1564920917954496,0.1275768712643654,0.2202805278282011,,,,,,,,
20,selfsup,,,,,,,,,,,,,,,0.1537828753071446,0.115170418855644,0.2113680849953364,,,,,,,,
1,train,0.5320564516449487,0.6169741767388518,0.4167732088476099,0.5871012332618878,2.329623000275704,0.4167732075657895,0.1034978033013401,0.779223023563303,117.43689292989752,0.2470094497886396,0.2470094526727353,29466.525779149863,154.66180581943962,0.5974346595781821,,,,0.0001,,0.558803935845693,0.7963720266857455,70.83007860183716,0.2261099364928981,0.0863516914347807,0.0863516912344963
