epoch,phase,loss,lr,mae,rel_err_pct,rmse,time_sec
1,train,219.6323702725497,0.0001,219.6323699951172,93.04257065679847,308.6171399363619,52.50866270065308
1,val,204.43940013538707,0.0001,204.4393920898437,86.60638950157885,294.1176422794117,6.615751028060913
2,train,177.11752737539786,0.0001,177.11752319335938,75.03206228955072,262.8505546170676,52.44536089897156
2,val,158.71550394694012,0.0001,158.7154998779297,67.23643746859213,236.46738510574767,6.940556049346924
3,train,125.50089495366672,0.0001,125.50090789794922,53.16578376332642,199.64761925703,64.39432907104492
3,val,113.32694216641512,0.0001,113.32694244384766,48.00854286438892,180.83481542211388,8.053160190582275
4,train,94.70214302242806,0.0001,94.7021484375,40.1185459936648,160.04852779704035,67.24570941925049
4,val,87.53297276352392,0.0001,87.53297424316406,37.081478202613695,137.35337352518866,9.287638187408447
5,train,83.38792489819254,0.0001,83.38792419433594,35.32551612928343,145.74275014130205,73.01653337478638
5,val,88.53760653409091,0.0001,88.53759765625,37.50706549147576,153.9154026466325,8.113378524780273
6,train,76.29984502567586,0.0001,76.29985046386719,32.3228048217362,136.69475146517146,71.5925657749176
6,val,93.57865313905658,0.0001,93.57865142822266,39.6426004390753,157.17299883408728,9.15671443939209
7,train,72.60749845665312,0.0001,72.60750579833984,30.758621730513266,130.0767877183512,72.42170977592468
7,val,72.57179882165157,0.0001,72.5718002319336,30.7434958276314,117.58698990667504,9.143001556396484
8,train,69.61561787666295,0.0001,69.61561584472656,29.49117134324741,127.42881744576069,76.33541178703308
8,val,68.76030157840613,0.0001,68.76029968261719,29.128834886874383,111.1134608041483,8.292246103286743
9,train,68.15800329908377,0.0001,68.15799713134766,28.873682253942206,127.17726079792132,71.69713759422302
9,val,66.91275597774622,0.0001,66.91275787353516,28.34616319184463,114.9397090597936,8.358060598373413
10,train,64.19890563656585,0.0001,64.19890594482422,27.19649768653529,122.17835243891408,69.18935179710388
10,val,64.15141199285334,0.0001,64.15141296386719,27.17637829691691,109.02689246809706,8.475251913070679
11,train,62.38787496547506,0.0001,62.38787841796875,26.429294488606853,119.84526563578764,72.25933241844177
11,val,71.47329180168383,0.0001,71.4732894897461,30.27813517361541,112.94350080903284,8.890614986419678
12,train,60.93379457261828,0.0001,60.93379592895508,25.813303445356368,118.86228244274967,72.79516768455505
12,val,62.38428058046283,0.0001,62.38428115844727,26.427770585475617,102.4756830911607,8.70591402053833
13,train,58.59540279401272,0.0001,58.595401763916016,24.82269261540936,114.33929599824812,76.78216052055359
13,val,65.67610237815164,0.0001,65.67610168457031,27.822280164771456,116.62986073070007,10.136965990066528
14,train,57.11360213411376,0.0001,57.11360549926758,24.19496122201048,113.37244605034108,71.94668197631836
14,val,62.44204106186376,0.0001,62.44204711914063,26.452241903065644,106.17912617806525,10.089028120040894
15,train,54.59883189088969,0.0001,54.59883117675781,23.12963069904058,110.81610435480486,75.76438760757446
15,val,70.8826748934659,0.0001,70.88267517089844,30.02793401022685,118.37934753104108,10.581297159194946
16,train,53.83848261463923,0.0001,53.8384895324707,22.807528173062902,108.7374543769303,75.94010138511658
16,val,82.72981262207031,0.0001,82.72982025146484,35.046724424543584,116.59943282184096,9.886008501052856
17,train,52.38715118639397,0.0001,52.38715362548828,22.192700660728715,106.35756962805938,71.37510514259338
17,val,65.18252762303207,0.0001,65.18252563476562,27.61318719506017,97.5300184158062,9.08570432662964
18,train,50.3125955446802,0.0001,50.31259536743164,21.31385828739745,105.81782510227188,68.96288919448853
18,val,63.190750422622216,0.0001,63.19075393676758,26.76941558279069,111.3803178093531,8.936330318450928
19,train,50.09761646412037,0.0001,50.097618103027344,21.222787752970365,104.0451843701812,71.81355381011963
19,val,56.73135822180546,0.0001,56.73135757446289,24.033030038007844,99.6533101635992,7.900265693664551
20,train,48.23276383627946,0.0001,48.23276519775391,20.43278258111297,102.44564107369332,72.5757246017456
20,val,54.74048965916489,0.0001,54.74049377441406,23.18964303734679,91.55773771745072,9.202783346176147
21,train,47.18774323126282,0.0001,47.18774032592773,19.990080075661883,102.10820700364884,71.02069020271301
21,val,75.05988487474846,0.0001,75.05988311767578,31.79751909248293,106.40525880595612,9.482525110244753
22,train,46.02644173079468,0.0001,46.02643966674805,19.49811981207271,100.3139846073941,72.29914140701294
22,val,51.11023550322562,0.0001,51.1102409362793,21.65176382495634,84.74088492649224,9.43953824043274
23,train,44.317431334935456,0.0001,44.31743621826172,18.774136939638943,99.57863373673592,74.79733228683472
23,val,53.42938086769798,0.0001,53.42937850952149,22.634217010337032,91.41530403876584,9.670459508895874
24,train,44.34410248316498,0.0001,44.34410095214844,18.78543288561792,98.5110241292821,76.8588285446167
24,val,59.9083086418383,0.0001,59.90830993652344,25.378878168761727,100.91022754625769,9.17925786972046
25,train,42.491623024988655,0.0001,42.49162292480469,18.000670066944473,95.8325209431146,69.80834937095642
25,val,52.77952684344668,0.0001,52.7795295715332,22.35892236352128,88.19049538676205,8.74523401260376
26,train,40.770627870142256,0.0001,40.7706298828125,17.271608058858064,93.57500855764054,71.49327087402344
26,val,53.16806753909949,0.0001,53.16806411743164,22.52351673974654,85.35521481030025,9.18140172958374
27,train,41.87973027855459,0.0001,41.87973403930664,17.74145638699225,95.15055401671344,69.82946300506592
27,val,53.18573515920928,0.0001,53.18573760986328,22.5310037379896,90.90144796529646,8.320755243301392
28,train,40.5706727923769,0.0001,40.57067108154297,17.186899776121862,93.38504484960372,70.86373996734619
28,val,54.48082522767963,0.0001,54.4808235168457,23.07963926929089,91.29425831651464,8.581626415252686
29,train,38.690772786766594,0.0001,38.69077301025391,16.39052104046746,91.095079321347,69.66868281364441
29,val,55.71885412967566,0.0001,55.71885681152344,23.60410567783736,100.38115835715884,9.083322763442991
30,train,39.25542874063306,0.0001,39.25542831420898,16.629725220689817,92.6179568847208,70.85019421577454
30,val,52.70411420879942,0.0001,52.7041130065918,22.32697374377917,95.06864810000457,8.450111150741577
31,train,37.55410403498897,0.0001,37.55410385131836,15.908995386776173,91.16979565966462,73.31338858604431
31,val,52.19086398500384,0.0001,52.19086837768555,22.109548599895383,91.39542670964175,7.775715112686157
32,train,36.55738402344161,0.0001,36.55738067626953,15.486754865300169,89.85619207325809,71.94934320449829
32,val,57.10256079471473,0.0001,57.1025619506836,24.190282857354585,88.53764482287322,9.137861728668211
33,train,35.4242807947024,0.0001,35.424278259277344,15.0067401857849,87.65324749759704,70.32427549362183
33,val,46.56972448175604,0.0001,46.56972122192383,19.72826945872259,82.44455997062511,8.749072551727295
34,train,35.5674132876926,0.0001,35.567413330078125,15.067376306675204,88.51164350048106,69.70658349990845
34,val,52.02884757302024,0.0001,52.028846740722656,22.040911587942595,85.94159365249897,8.062600135803223
35,train,36.87805063523829,0.0001,36.8780517578125,15.622600331807302,89.70895322687976,72.64907360076904
35,val,47.61453235510624,0.0001,47.614532470703125,20.170881467310664,80.40788657001407,8.171509265899658
36,train,35.38888598612262,0.0001,35.388885498046875,14.99174679711638,87.96457028258592,71.30022644996643
36,val,50.44224555275657,0.0001,50.44224548339844,21.368781794017515,86.59684562312302,8.01290774345398
37,train,34.119072440818506,0.0001,34.11907196044922,14.4538173662428,86.99549871616922,69.53172302246094
37,val,48.85740294022994,0.0001,48.85740280151367,20.697396983081862,83.30732178675083,8.156221389770508
38,train,32.435458424115424,0.0001,32.43545913696289,13.740590690724064,85.85056682526185,70.27152490615845
38,val,48.61417683688077,0.0001,48.61417388916016,20.594358240371864,90.03727255541868,7.8605992794036865
39,train,32.83936542292636,0.0001,32.83936309814453,13.911695992040254,86.35744835692374,57.011849880218506
39,val,46.69978744044448,0.0001,46.69979095458984,19.78337072768297,81.34915524204139,5.93571400642395
40,train,31.67689824730459,0.0001,31.676898956298828,13.419242843826815,84.81824547598825,46.41596436500549
40,val,41.57610408898556,0.0001,41.57610321044922,17.61282965965583,71.78247781383526,5.24189829826355
41,train,30.843552272809475,0.0001,30.843549728393555,13.066212211680526,84.20866996726792,47.922971963882446
41,val,48.9711576981978,0.0001,48.97115707397461,20.745586555196667,84.8986614431803,5.87421989440918
42,train,31.25778266059028,0.0001,31.257783889770508,13.241693682054091,84.1103546408675,48.8123517036438
42,val,52.19451166788737,0.0001,52.19451522827149,22.111093510389743,97.04719071957982,5.481986284255981
43,train,33.74559694155298,0.0001,33.74559783935547,14.29560301787,86.11717013573715,48.43888521194458
43,val,48.76654274680398,0.0001,48.76654052734375,20.658905117951,80.46372253712383,5.721301078796387
