epoch,phase,contrastive_loss,loss,lr,mae,rel_err_pct,rmse,time_sec
1,selfsup,0.3988920376505903,,,,,,
2,selfsup,0.3197422868782474,,,,,,
3,selfsup,0.281791276829217,,,,,,
4,selfsup,0.2540405458340081,,,,,,
5,selfsup,0.2432101362495012,,,,,,
6,selfsup,0.2389627908186246,,,,,,
7,selfsup,0.2338787858043947,,,,,,
8,selfsup,0.2219687922987886,,,,,,
9,selfsup,0.2194581985553746,,,,,,
10,selfsup,0.2131260389922767,,,,,,
11,selfsup,0.2110073479112758,,,,,,
12,selfsup,0.207728388008251,,,,,,
13,selfsup,0.2054499656923355,,,,,,
14,selfsup,0.1989058771481116,,,,,,
15,selfsup,0.1981486904845442,,,,,,
16,selfsup,0.1926417730508312,,,,,,
17,selfsup,0.191361696008713,,,,,,
18,selfsup,0.1842314176742107,,,,,,
19,selfsup,0.1846480051516204,,,,,,
20,selfsup,0.1830097485774307,,,,,,
1,train,,219.5590238937224,0.0001,219.5590057373047,93.01149145321229,308.64471889212683,70.93913841247559
1,val,,209.45813561641808,0.0001,209.4581451416016,88.73247722454447,298.60280107946073,9.233933448791504
2,train,,177.14073142106284,0.0001,177.1407470703125,75.04190058985402,264.045909242124,69.28885984420776
2,val,,154.18438212076822,0.0001,154.1843719482422,65.3169217316859,232.78993179205585,8.207417726516724
3,train,,125.4931660559041,0.0001,125.4931640625,53.16250325254855,199.2131886478654,72.10117030143738
3,val,,105.81824084195225,0.0001,105.8182373046875,44.82764002914264,174.09267018602478,8.703797817230225
4,train,,96.1663602629896,0.0001,96.16637420654295,40.73883402122974,162.61721133347172,70.00517797470093
4,val,,88.95713882446289,0.0001,88.95713806152344,37.684794838933385,148.3582814928105,7.623957872390747
5,train,,82.81633183643072,0.0001,82.81632995605469,35.08337241748228,144.87936118327897,73.89149856567383
5,val,,75.35097332578717,0.0001,75.35096740722656,31.92083074539348,126.0927393082171,8.975847005844116
6,train,,77.0589695683232,0.0001,77.05896759033203,32.64438860684702,136.7845091855251,73.83473205566406
6,val,,81.28003891453598,0.0001,81.28003692626953,34.43255463039951,125.3118960396917,8.718018054962158
7,train,,71.60741686323276,0.0001,71.60741424560547,30.334954267649643,130.7182830794912,72.14509415626526
7,val,,66.52119924371893,0.0001,66.52120208740234,28.180288931611496,106.4225253705718,8.316775798797607
8,train,,69.53815803656273,0.0001,69.53815460205078,29.45835653937772,126.90283330786,76.0511245727539
8,val,,81.2798246903853,0.0001,81.27981567382812,34.43246090152014,123.70154512222148,8.515651941299438
9,train,,69.74241177851103,0.0001,69.74241638183594,29.54488768721611,127.54081760852092,72.00752925872803
9,val,,70.42503671357126,0.0001,70.42503356933594,29.83406390333654,113.66357894984436,9.516258955001833
10,train,,66.02218311964863,0.0001,66.02218627929688,27.96889152516252,123.68584195452608,70.0846312046051
10,val,,69.16142543445935,0.0001,69.16142272949219,29.29876211313247,121.08786679256929,8.752472639083862
11,train,,61.961505121815485,0.0001,61.96150588989258,26.24867085798935,118.2553183264922,70.82030200958252
11,val,,64.9198443326083,0.0001,64.91984558105469,27.50190839104188,99.98589744308944,9.511482000350952
12,train,,60.54195714366155,0.0001,60.54195785522461,25.64730959999604,116.7483563521881,69.67217922210693
12,val,,69.31823732780688,0.0001,69.3182373046875,29.365193264389863,115.32441080084692,7.609675645828247
13,train,,60.30113614785551,0.0001,60.3011360168457,25.545290562849708,116.21782148728308,74.07368779182434
13,val,,69.22452424945253,0.0001,69.22452545166016,29.32549423593338,115.6273732864541,9.196072816848757
14,train,,57.27042754202178,0.0001,57.27042770385742,24.261395605300294,113.94717200445344,68.7407579421997
14,val,,58.18607175422437,0.0001,58.186073303222656,24.64928933975569,96.99312858232535,8.90933609008789
15,train,,56.107298174771394,0.0001,56.107303619384766,23.76866288646392,112.0027770651804,70.44442009925842
15,val,,74.95980203801935,0.0001,74.95980072021484,31.7551213187068,124.38590561484448,9.21295928955078
16,train,,54.51409959889421,0.0001,54.51409912109375,23.09373577027304,110.44700104150633,69.51779317855835
16,val,,57.93867527354848,0.0001,57.93867111206055,24.54448267645905,90.75777988346232,8.732013463973999
17,train,,52.05171786992237,0.0001,52.05171585083008,22.050599599531363,105.98957975020468,72.83926963806152
17,val,,51.82913388338956,0.0001,51.829132080078125,21.9563067301794,86.88950530882599,8.47444462776184
18,train,,51.63150154139458,0.0001,51.63150405883789,21.872585833399704,105.187421085829,69.65186262130737
18,val,,54.26801082726681,0.0001,54.268009185791016,22.98948501546323,91.72522868941238,9.372127056121826
19,train,,48.81549647167476,0.0001,48.81549835205078,20.67964505718574,103.58941355931358,70.6154556274414
