epoch,phase,bucket_acc,bucket_ce,bucket_distance_l1,bucket_entropy,bucket_expectation_l1,bucket_index_l1,bucket_prior_kl,calorie_from_map_l1,calorie_mae,calorie_map,calorie_map_l1,calorie_mse,calorie_rmse,loss,loss_contrast,loss_reconstruction,loss_total,lr,scheduler_metric,segmentation,segmentation_dice,time_sec,total_calories,volume,volume_mae
1,selfsup,,,,,,,,,,,,,,,2.109683489927681,0.3195359734117344,2.2694514823216263,,,,,,,,
2,selfsup,,,,,,,,,,,,,,,0.986931552649826,0.2425738089988308,1.1082184596728253,,,,,,,,
3,selfsup,,,,,,,,,,,,,,,0.542194959296975,0.2313154028948917,0.657852661385331,,,,,,,,
4,selfsup,,,,,,,,,,,,,,,0.3969162520702167,0.1970353880396453,0.4954339467710064,,,,,,,,
5,selfsup,,,,,,,,,,,,,,,0.3396538478392427,0.2064694303578587,0.4428885615961526,,,,,,,,
6,selfsup,,,,,,,,,,,,,,,0.2884001147042038,0.1764513825777397,0.3766258072148087,,,,,,,,
7,selfsup,,,,,,,,,,,,,,,0.2589156283966957,0.1675702123151671,0.3427007344140801,,,,,,,,
8,selfsup,,,,,,,,,,,,,,,0.2298647706066408,0.1674499765278831,0.3135897586903264,,,,,,,,
9,selfsup,,,,,,,,,,,,,,,0.2211197411981962,0.1535771116213773,0.2979082968286288,,,,,,,,
10,selfsup,,,,,,,,,,,,,,,0.2070983127560667,0.1530507337101685,0.2836236790303261,,,,,,,,
11,selfsup,,,,,,,,,,,,,,,0.2000239771860902,0.1466798650160912,0.2733639094137376,,,,,,,,
12,selfsup,,,,,,,,,,,,,,,0.1966037729815129,0.1444717201814856,0.2688396323912887,,,,,,,,
13,selfsup,,,,,,,,,,,,,,,0.182415787891675,0.1346575175962781,0.2497445466697856,,,,,,,,
14,selfsup,,,,,,,,,,,,,,,0.1795102785671911,0.1389777405207516,0.2489991485271402,,,,,,,,
15,selfsup,,,,,,,,,,,,,,,0.1736471894127066,0.1282653019072548,0.2377798401059642,,,,,,,,
16,selfsup,,,,,,,,,,,,,,,0.170778733948546,0.1251058840463238,0.2333316760518217,,,,,,,,
17,selfsup,,,,,,,,,,,,,,,0.1690817576662827,0.1270625568445652,0.2326130362287644,,,,,,,,
18,selfsup,,,,,,,,,,,,,,,0.162885103935516,0.123886546140076,0.2248283772058384,,,,,,,,
19,selfsup,,,,,,,,,,,,,,,0.15912510450649,0.1181551524067437,0.2182026800288949,,,,,,,,
20,selfsup,,,,,,,,,,,,,,,0.1597760867687963,0.1174721338495772,0.2185121535934427,,,,,,,,
