epoch,phase,bucket_acc,bucket_ce,bucket_distance_l1,bucket_entropy,bucket_expectation_l1,bucket_index_l1,bucket_prior_kl,calorie_from_map_l1,calorie_mae,calorie_map,calorie_map_l1,calorie_mse,calorie_rmse,loss,lr,scheduler_metric,segmentation,segmentation_dice,time_sec,total_calories,volume,volume_mae
1,train,0.6285282258064516,0.6035953237805315,0.4333926859081432,0.645800434133058,2.9878829550999466,0.4333926867092809,0.057748516761167,0.8381876381494666,130.02873098722068,0.1596011621977693,0.1596011660832871,35653.20942540323,171.74904160858483,0.6896699277640191,0.0001,,0.6922995060361842,0.6998535221622836,73.36155104637146,0.2609215492122276,0.0741400577288161,0.0741400578089298
1,val,0.5130952383790698,0.6077540133680616,0.3718428115049998,0.5000501346020472,1.732218821843465,0.3718428086666834,0.1335617300300371,0.427320231284414,90.05295599074591,0.2140503788278216,0.21405038805235,14745.029273623511,117.0580789475214,0.4373903391939221,0.0001,117.0580789475214,0.6034798281533378,0.8402287562688192,7.581376791000366,0.1375579601597218,0.0732214984794457,0.0732214984794457
2,train,0.4995967742576394,0.8176119841875569,0.419206153240896,0.3915604247200873,0.8775982037987761,0.4192061515585069,0.3488831980935027,0.4897151532512839,97.1790792813865,0.2302861847384001,0.2302861916281843,23579.266381048383,135.20403792268488,0.5850253992610508,0.0001,,0.5056523752789344,0.8471484978993734,67.26396226882935,0.1687602509333882,0.0517854111930055,0.0517854106322091
2,val,0.5130952383790698,0.8961644002369472,0.4135938797678266,0.3113358645212082,0.5172307803517296,0.413593882606143,0.4415175914764404,0.3745901102111453,76.45272899809338,0.2167742302020391,0.2167742358786719,11055.302408854166,102.06666346958706,0.4665744069850806,0.0001,102.06666346958706,0.4531475859028952,0.8630055047216869,8.1203031539917,0.1066001109069302,0.0505953989923,0.0505953993470895
3,train,0.5002016130314079,0.927215084273328,0.4235216681194562,0.3129915644725163,0.5681411922779135,0.4235216679592286,0.4672668362336774,0.4444384720697197,91.29032231402654,0.2445670152383466,0.2445670194843764,21517.392620127688,125.6994923417286,0.6611217021540761,0.0001,,0.4408458897503473,0.86400132794534,64.5500693321228,0.1510982635300806,0.0512175512129581,0.0512175508524461
3,val,0.5130952383790698,0.880562254360744,0.4124569609051659,0.3159336802505311,0.5521275429498582,0.4124569580668494,0.4332697228306815,0.3629441899912698,90.99773425147649,0.2641772833608445,0.264177293294952,14716.337007068452,118.51500193277997,0.6182714769334504,0.0001,118.51500193277997,0.4465487088475908,0.8683129605792818,7.52368688583374,0.141788544931582,0.0540709648103941,0.0540709658747627
4,train,0.5002016130314079,0.9464680768789784,0.4247019365429878,0.2990950406879507,0.5141613845543195,0.424701937183898,0.4930019425528665,0.4064219554746023,87.95053484106576,0.2456035544314692,0.2456035597990918,20394.12006993448,123.39981148832588,0.7592301045604025,0.0001,,0.4070227956900032,0.8739365704597966,67.42527389526367,0.1444039657031015,0.0510478819450063,0.0510478819249778
4,val,0.5160714288552603,0.7694934606552124,0.3831806239627656,0.3597255604607718,0.8520309811546689,0.3831806211244492,0.3126381664049057,0.4365744434651874,100.15970429920014,0.2268337451276325,0.2268337479659489,17735.349609375,129.26510438464936,0.8276012644623265,0.0001,129.26510438464936,0.4302045064313071,0.8660678977058047,8.186102867126465,0.1676934645289466,0.0659472332114265,0.0659472328566369
5,train,0.4997983871288197,0.9575391560792924,0.4230059827527692,0.289959125060548,0.4893021964898673,0.4230059825124279,0.5011967941718076,0.390056982876793,83.76094094143119,0.2597931795703467,0.2597931854186519,19002.1106390184,117.0591653393161,0.8557672818903168,0.0001,,0.3971103815942682,0.8766363535517006,65.22110748291016,0.1311024217716147,0.0513522235416276,0.0513522236818267
5,val,0.5130952383790698,0.9818209125882104,0.4215903594380333,0.2643240009035383,0.3577086684249696,0.4215903636955079,0.5385728897083373,0.3550304749182292,68.47685859316871,0.2649655242760976,0.2649655228569394,9693.724086216518,95.5320429120745,0.766096128839435,0.0001,95.5320429120745,0.3893456004914783,0.8862874734969366,7.688775777816772,0.0920613750460602,0.059635992383673,0.0596359932706469
