epoch,phase,contrastive_loss,loss,lr,mae,rel_err_pct,rmse,time_sec
1,selfsup,0.387172616938109,,,,,,
2,selfsup,0.3103864218599053,,,,,,
3,selfsup,0.2825457562682449,,,,,,
4,selfsup,0.2574939707354192,,,,,,
5,selfsup,0.2495445210126138,,,,,,
6,selfsup,0.2345614218583671,,,,,,
7,selfsup,0.2227373964363528,,,,,,
8,selfsup,0.2296734738253778,,,,,,
9,selfsup,0.2128598079966601,,,,,,
10,selfsup,0.2105048640921551,,,,,,
11,selfsup,0.2085979810004593,,,,,,
12,selfsup,0.1981523308542467,,,,,,
13,selfsup,0.1999142287719634,,,,,,
14,selfsup,0.1999909144736105,,,,,,
15,selfsup,0.1976030041934341,,,,,,
16,selfsup,0.1958706353300361,,,,,,
17,selfsup,0.1914778925398344,,,,,,
18,selfsup,0.1913431434221165,,,,,,
19,selfsup,0.190404541229689,,,,,,
20,selfsup,0.1884437765805952,,,,,,
1,train,,221.4982251099865,0.0001,221.49822998046875,92.77449635352734,312.6516382093656,25.929467916488647
1,val,,185.31139387650924,0.0001,185.31138610839844,77.61764288482911,257.12569883230265,3.4512438774108887
2,train,,177.83886756768533,0.0001,177.8388671875,74.48777959470372,265.0036998562473,25.67574906349182
2,val,,149.59274939334753,0.0001,149.5927276611328,62.656888805404506,202.81101694373007,3.068594217300415
3,train,,125.0468255604959,0.0001,125.04682159423828,52.37584018182813,201.72705492199103,25.745666980743408
3,val,,117.68114392829663,0.0001,117.68114471435548,49.29072765865396,167.67547944243367,3.111854553222656
4,train,,96.42583620732884,0.0001,96.42584228515624,40.387947814566544,165.18976422019918,25.92371225357056
4,val,,80.2094907356031,0.0001,80.2094955444336,33.595733710061474,119.50810233384806,3.454854965209961
5,train,,82.83819218902075,0.0001,82.83819580078125,34.69676437111951,144.9517430474708,26.594555139541622
5,val,,65.70323366107363,0.0001,65.70323181152344,27.51978758683974,97.11048495946513,3.657868385314941
6,train,,76.36348149977148,0.0001,76.36347961425781,31.98483058596145,136.98113750166482,27.162532091140747
6,val,,63.42783143014619,0.0001,63.42782974243164,26.566735813135672,93.0692576458521,3.8638126850128174
7,train,,71.74493915545017,0.0001,71.74494171142578,30.05035676256927,130.70520115655307,26.445131063461304
7,val,,64.79705567793413,0.0001,64.79705047607422,27.140233686991124,99.70271239728136,3.4284939765930176
8,train,,71.48407248294714,0.0001,71.48406982421875,29.94109061651221,130.43496194224537,27.727457523345947
8,val,,61.46505906076143,0.0001,61.46505737304688,25.7446289365404,94.88263720908056,3.302246570587158
9,train,,71.19024827231462,0.0001,71.19024658203125,29.81802280096664,129.4298193037447,27.5008544921875
9,val,,69.5721549987793,0.0001,69.57215881347656,29.140287010493125,105.11253270305116,3.970595598220825
10,train,,64.51236617733734,0.0001,64.51236724853516,27.02099416588744,123.96021444651102,26.986290216445923
10,val,,56.9855402397387,0.0001,56.98554229736328,23.868384800962914,86.37258894518416,3.3352484703063965
11,train,,66.00925995797822,0.0001,66.00926208496094,27.647968316226446,125.39852097413272,27.035884618759155
11,val,,75.70373752478397,0.0001,75.70374298095703,31.70850000713749,113.34403432553256,3.667026519775391
12,train,,60.2258847066449,0.0001,60.22588348388672,25.22560116239528,118.01763887630317,27.069112300872803
12,val,,59.61197216149532,0.0001,59.61197280883789,24.96846477868327,88.79025825470664,3.395291805267334
13,train,,58.41360900570648,0.0001,58.413604736328125,24.466528513951204,116.79389732826368,27.002204656600952
13,val,,47.37238638906768,0.0001,47.37238693237305,19.84191629416685,75.80704135851266,3.5815463066101074
14,train,,60.22843904334688,0.0001,60.22843933105469,25.226671678551487,116.42113159908943,25.72092056274414
14,val,,53.96979934229995,0.0001,53.96980285644531,22.60524284366331,79.25391231470847,3.542083263397217
15,train,,57.300273538197736,0.0001,57.30027389526367,24.000210078523025,114.72995637855442,27.5078182220459
15,val,,56.3723200711337,0.0001,56.372318267822266,23.61153601939118,84.40350791547411,3.689368963241577
16,train,,53.15982350050801,0.0001,53.15982818603516,22.26598508996817,109.54232290677652,27.66326475143433
16,val,,53.55509805390329,0.0001,53.55510330200195,22.431546005075884,79.64170865703787,3.604267120361328
17,train,,50.56652301313098,0.0001,50.56652069091797,21.17977868204094,105.4174551189223,27.082181692123413
17,val,,48.065765311501245,0.0001,48.065765380859375,20.13233774062437,76.25031698192309,3.345730781555176
18,train,,50.69603180548157,0.0001,50.6960334777832,21.234025091025,105.68520843169114,26.79264640808105
18,val,,50.89846935850201,0.0001,50.898468017578125,21.31881476328901,80.82227862821148,3.389496088027954
19,train,,49.7924334786155,0.0001,49.79243469238281,20.85555289181793,106.2554456325063,26.604560136795044
19,val,,54.55551487315785,0.0001,54.55551528930664,22.85056839759577,82.38200012935168,3.792487621307373
20,train,,48.66549040412261,0.0001,48.66549301147461,20.383533558411628,102.54939739584042,27.47695183753968
20,val,,54.58367452910452,0.0001,54.58367538452149,22.86236324873735,83.10900633260964,3.3356947898864746
21,train,,46.09107247169572,0.0001,46.09107208251953,19.30523778554316,100.3897823408214,26.785054683685303
21,val,,52.98856147997307,0.0001,52.98855972290039,22.19424932231471,84.06600538695027,3.391843318939209
22,train,,44.81766811332317,0.0001,44.81767272949219,18.7718746808157,100.49084127266276,26.450681924819943
22,val,,67.53128553448302,0.0001,67.53128814697266,28.285468675292925,104.00932387591509,3.073391914367676
23,train,,43.89856526538579,0.0001,43.89856719970703,18.38690748433256,97.48149363629231,28.431716918945312
