epoch,phase,bucket_acc,bucket_ce,bucket_distance_l1,bucket_entropy,bucket_expectation_l1,bucket_index_l1,bucket_prior_kl,calorie_from_map_l1,calorie_mae,calorie_map,calorie_map_l1,calorie_mse,calorie_rmse,loss,loss_contrast,loss_reconstruction,loss_total,lr,scheduler_metric,segmentation,segmentation_dice,time_sec,total_calories,volume,volume_mae
1,selfsup,,,,,,,,,,,,,,,2.301195337567278,0.303709268329605,2.453049964161329,,,,,,,,
2,selfsup,,,,,,,,,,,,,,,1.119347494456076,0.2423001295456322,1.240497556745365,,,,,,,,
3,selfsup,,,,,,,,,,,,,,,0.6089007183108278,0.2205100212526577,0.7191557297783513,,,,,,,,
4,selfsup,,,,,,,,,,,,,,,0.4203280643109352,0.2012461385419292,0.5209511326205346,,,,,,,,
5,selfsup,,,,,,,,,,,,,,,0.3325429363276369,0.1907872576466811,0.4279365646903232,,,,,,,,
6,selfsup,,,,,,,,,,,,,,,0.274535849770551,0.1791963131437378,0.3641340066027898,,,,,,,,
7,selfsup,,,,,,,,,,,,,,,0.2417791715312388,0.1767825934915773,0.3301704678964871,,,,,,,,
8,selfsup,,,,,,,,,,,,,,,0.2244168886494252,0.1742585669522003,0.3115461718651556,,,,,,,,
9,selfsup,,,,,,,,,,,,,,,0.2114664119097494,0.1594236455056616,0.2911782350431206,,,,,,,,
10,selfsup,,,,,,,,,,,,,,,0.1997264759434807,0.1519466088183464,0.2756997804327677,,,,,,,,
11,selfsup,,,,,,,,,,,,,,,0.1936412032252998,0.1503648995071329,0.2688236539402315,,,,,,,,
12,selfsup,,,,,,,,,,,,,,,0.1861335549463507,0.1385578593259216,0.255412485170108,,,,,,,,
13,selfsup,,,,,,,,,,,,,,,0.1815997339704985,0.1471017284258719,0.2551505983036051,,,,,,,,
14,selfsup,,,,,,,,,,,,,,,0.1775483326405607,0.1322102680882459,0.2436534675859636,,,,,,,,
15,selfsup,,,,,,,,,,,,,,,0.1684953258723341,0.1329268977767037,0.2349587747006006,,,,,,,,
16,selfsup,,,,,,,,,,,,,,,0.16260730787631,0.1364004430110736,0.2308075294619606,,,,,,,,
17,selfsup,,,,,,,,,,,,,,,0.1630431329130485,0.1195336831433157,0.2228099753459294,,,,,,,,
18,selfsup,,,,,,,,,,,,,,,0.1611503970318584,0.121773731123696,0.2220372628140193,,,,,,,,
19,selfsup,,,,,,,,,,,,,,,0.1558918101733089,0.1157091152203339,0.2137463676032199,,,,,,,,
20,selfsup,,,,,,,,,,,,,,,0.1559071038519182,0.1129872953539253,0.212400751488824,,,,,,,,
1,train,0.6613911290963491,0.5960577792057427,0.4275420003680772,0.6417242685953776,2.9541919346778625,0.4275420010089874,0.0590620317386202,0.9886234481168048,120.73960451925954,0.1969692254819536,0.1969692282859356,32664.30003045195,162.6185862018216,0.6642657360444567,,,,0.0001,,0.5651428843698194,0.8338802405582961,66.99686241149902,0.2352714253168913,0.0620078378987889,0.0620078376384191
1,val,0.5130952383790698,0.5947032783712659,0.3828071824141911,0.529302845398585,1.783022437776838,0.3828071781567165,0.127242442575239,0.4925528182869866,85.15657988048736,0.359586211897078,0.3595862175737108,13170.559291294643,112.33067721412296,0.427922404534889,,,,0.0001,112.33067721412296,0.4436564601603008,0.8945848743120829,9.073583364486694,0.1268579605079832,0.0544312784359568,0.0544312793229307
