epoch,phase,contrastive_loss,loss,lr,mae,rel_err_pct,rmse,time_sec
1,selfsup,0.391149547471795,,,,,,
2,selfsup,0.3139359053745064,,,,,,
3,selfsup,0.2751127591617004,,,,,,
4,selfsup,0.268426148641494,,,,,,
5,selfsup,0.2492101525747647,,,,,,
6,selfsup,0.2413544521857333,,,,,,
7,selfsup,0.2288927918960971,,,,,,
8,selfsup,0.2267941505678238,,,,,,
9,selfsup,0.2165671646274546,,,,,,
10,selfsup,0.2146852165460586,,,,,,
11,selfsup,0.2083193153463384,,,,,,
12,selfsup,0.2010899081986437,,,,,,
13,selfsup,0.2051689270683514,,,,,,
14,selfsup,0.1945030315108196,,,,,,
15,selfsup,0.1989618793770831,,,,,,
16,selfsup,0.1942410315236737,,,,,,
17,selfsup,0.188470223097391,,,,,,
18,selfsup,0.1905417267673759,,,,,,
19,selfsup,0.1825677113186928,,,,,,
20,selfsup,0.1900397290385538,,,,,,
1,train,,218.52404341264204,0.0001,218.52403259277344,92.62659543432248,307.76167727642763,15.539841890335085
1,val,,208.1989086729108,0.0001,208.19891357421875,88.25004878391333,296.33525935585186,2.14846134185791
2,train,,174.91315007065282,0.0001,174.91314697265625,74.14108694842108,260.92741746987804,15.690634489059448
2,val,,135.1127230095141,0.0001,135.11273193359375,57.27073681494928,211.0089601178111,1.92057204246521
3,train,,124.43455896345452,0.0001,124.43455505371094,52.744538219688565,199.658986618434,15.66825556755066
3,val,,117.75119508685488,0.0001,117.75118255615234,49.91163222972126,185.0364723338348,1.9190306663513184
4,train,,94.5787693730107,0.0001,94.57876586914062,40.089453681114726,162.90239840545627,15.5047709941864
4,val,,102.17430188728102,0.0001,102.17430114746094,43.30900150212042,158.91625152891066,1.919395446777344
5,train,,81.9912775315821,0.0001,81.99127960205078,34.75394900383476,144.78547573695022,15.45987319946289
5,val,,74.78583632960463,0.0001,74.78583526611328,31.69975048033806,120.1143782699952,1.9800999164581297
6,train,,77.2292489202737,0.0001,77.229248046875,32.7354489557017,136.2618185814537,15.711381196975708
6,val,,72.781955649636,0.0001,72.78195190429688,30.85035697774166,113.93597434524357,1.9282243251800537
7,train,,74.1844770489317,0.0001,74.18447875976562,31.444851259870703,133.74134755891689,15.57006573677063
7,val,,77.14634098862157,0.0001,77.1463394165039,32.70030616456521,122.76360747514916,1.916372299194336
8,train,,70.32738190211029,0.0001,70.32738494873047,29.809930543151346,128.0857180636272,15.460633516311646
8,val,,74.68007322369199,0.0001,74.6800765991211,31.65492216033794,122.77744808315776,1.93782377243042
9,train,,68.18040701355596,0.0001,68.18040466308594,28.8998820145556,126.64641893747924,15.635581493377686
9,val,,58.5562461159446,0.0001,58.556243896484375,24.820453151045527,92.44599352459792,1.98670506477356
10,train,,65.35142146152278,0.0001,65.3514175415039,27.700748708755743,121.25769547099888,15.734132766723633
10,val,,52.82100994225704,0.0001,52.82101058959961,22.38943845250207,86.54056299197937,1.930830478668213
11,train,,63.354226322366735,0.0001,63.35422897338867,26.85419295326315,122.16475171873432,15.538140058517456
11,val,,68.95801960338245,0.0001,68.95802307128906,29.22949402382018,112.7340447413735,1.891356468200684
12,train,,61.576882181906136,0.0001,61.57687759399414,26.100820405582752,118.44404253037592,15.5950608253479
12,val,,60.17261745568478,0.0001,60.1726188659668,25.50559202838684,93.57272823184114,1.91168475151062
13,train,,60.61559201635495,0.0001,60.6155891418457,25.69335548972716,117.31255410893796,15.641667127609251
13,val,,106.0129179983428,0.0001,106.0129165649414,44.93608971329196,159.85880000018767,1.9940948486328125
14,train,,58.86439347443757,0.0001,58.86439514160156,24.951070367752017,115.50579581643296,15.704451084136965
14,val,,80.4013842496005,0.0001,80.40138244628906,34.08003337466843,123.15945742461275,1.9159865379333496
15,train,,54.36172379259308,0.0001,54.36172103881836,23.0425051287592,110.25260413591144,15.49539279937744
15,val,,91.0704106648763,0.0001,91.0704116821289,38.60235452599481,150.36022501188603,1.920143842697144
16,train,,55.22610047722505,0.0001,55.22610092163086,23.408893048462488,110.5128227147194,15.549968481063845
16,val,,66.8765278671727,0.0001,66.87652587890625,28.347202057844672,98.21667691894284,1.9263091087341309
17,train,,53.82996865988581,0.0001,53.8299674987793,22.817108775600392,108.5507198919588,15.656718254089355
17,val,,63.5008827903054,0.0001,63.50088882446289,26.916358209443818,98.3207591492636,1.9651129245758057
18,train,,51.6551579896047,0.0001,51.6551628112793,21.89526621417773,106.64955663146236,15.51941442489624
18,val,,55.76478054162228,0.0001,55.76477813720703,23.637224164852803,85.24804398874059,1.9509201049804688
19,train,,49.08037250403202,0.0001,49.08037185668945,20.80387998425589,104.7524518656962,15.639126300811768
19,val,,67.42660841508345,0.0001,67.42660522460938,28.58036623848301,112.44422228376165,1.9192814826965328
20,train,,47.28489909316554,0.0001,47.2849006652832,20.04282692438357,101.29031315512113,15.633797645568848
20,val,,53.77937027902314,0.0001,53.77937316894531,22.795663167741928,86.37936120954328,1.911301612854004
21,train,,47.66418099965311,0.0001,47.6641845703125,20.20359540558476,104.2311321355093,15.514410495758057
21,val,,67.36674790815873,0.0001,67.36675262451172,28.554996294001626,116.50701175921772,2.0017571449279785
22,train,,45.85478079439414,0.0001,45.85478210449219,19.43663724454931,100.77746601423355,15.744759559631348
22,val,,50.19367178714637,0.0001,50.19367218017578,21.2757787372661,86.92129499402031,1.921325445175171
23,train,,44.36167657254922,0.0001,44.36167907714844,18.80375010433595,99.86905978110788,15.732422828674316
23,val,,56.740998770973896,0.0001,56.740997314453125,24.051017822738768,91.87476084152546,1.9518978595733645
24,train,,44.75077527235654,0.0001,44.75077438354492,18.96867738077032,98.9070152024112,15.561546802520752
24,val,,48.68078106966885,0.0001,48.680782318115234,20.63450447776361,76.18013256523153,1.8986122608184808
25,train,,44.14441931881888,0.0001,44.14441680908203,18.71165833772997,97.98711450683196,15.684027194976808
25,val,,47.651019495183775,0.0001,47.65102005004883,20.19801531058888,76.54022635189943,1.98437762260437
26,train,,41.77759762902051,0.0001,41.7775993347168,17.70842660132203,96.6806619269076,15.727657794952393
26,val,,53.43159889452385,0.0001,53.43159866333008,22.648250693010617,81.66152095023855,1.9154224395751955
27,train,,41.68639574789439,0.0001,41.68639755249024,17.6697685622727,96.1821899931323,15.489165544509888
27,val,,56.165702912301725,0.0001,56.16570281982422,23.807165603029564,92.41305563372796,1.908341646194458
28,train,,39.38288014216054,0.0001,39.38288116455078,16.693368493088478,93.23052431506808,15.435402154922484
28,val,,49.24748454238429,0.0001,49.24748611450195,20.87471532621901,81.7830680204879,1.9371213912963867
29,train,,39.07643954601352,0.0001,39.07644271850586,16.56347728784873,93.37825253706023,15.612286806106567
29,val,,50.3804685419256,0.0001,50.380470275878906,21.354957541687032,83.05161822061326,2.0043587684631348
30,train,,38.93956158827451,0.0001,38.9395637512207,16.50545789027603,92.05178569696515,15.55480170249939
30,val,,45.08439504450018,0.0001,45.08439636230469,19.110090970519625,71.56393284591758,1.925952672958374
31,train,,37.142569277984926,0.0001,37.14257049560547,15.743759667379592,89.95493934899434,15.43186378479004
31,val,,50.788979085286456,0.0001,50.78897857666016,21.528113476334727,83.35609031719729,1.9357047080993648
32,train,,37.53155546220465,0.0001,37.53155517578125,15.90864005226584,90.84321250270986,15.641283750534058
32,val,,45.124354645700166,0.0001,45.12435531616211,19.12702852108957,72.4217856660722,1.909989595413208
33,train,,36.76657292658231,0.0001,36.76657104492188,15.58438338007256,90.1014917112572,15.641735792160034
33,val,,45.44660658402877,0.0001,45.44660949707031,19.263623600755206,71.7808282530057,1.987962007522583
34,train,,35.272615469987144,0.0001,35.27261734008789,14.951135660023663,88.4511252754876,15.601762533187866
34,val,,49.87333015673088,0.0001,49.873329162597656,21.13999374951794,80.65622881150439,1.917042255401612
35,train,,35.122465440640944,0.0001,35.12246322631836,14.887489276676677,89.07107963061019,15.622421264648438
35,val,,44.42073112256599,0.0001,44.42073440551758,18.82878210556433,71.74159494541851,1.9140686988830569
36,train,,33.00221957839298,0.0001,33.002220153808594,13.988773950176329,85.85881340808147,15.690623044967651
36,val,,51.71326518203273,0.0001,51.71326446533203,21.91989397780453,79.97933387854796,1.9319043159484863
37,train,,34.06397730380999,0.0001,34.06398010253906,14.438826093423646,87.61299066241547,15.735105752944946
37,val,,48.13032890088631,0.0001,48.13032913208008,20.40118183603164,79.63129758259312,1.973243951797485
38,train,,33.26851048967252,0.0001,33.26850891113281,14.101646757348728,85.89999749890858,15.714994430541992
38,val,,45.782704023881394,0.0001,45.7827033996582,19.406084974785305,75.43016612030958,1.9221267700195312
39,train,,31.95589695683232,0.0001,31.95589828491211,13.545265603316526,86.14374399169246,15.736111640930176
39,val,,48.43175169048887,0.0001,48.43174743652344,20.528945135151872,81.71300469765355,1.9190702438354488
40,train,,31.26368620516073,0.0001,31.263687133789062,13.251855485035916,85.4377171723648,15.748724699020386
40,val,,49.107211858576,0.0001,49.10721206665039,20.815256843206303,80.17041480593855,1.978992938995361
41,train,,31.75785795526473,0.0001,31.75786018371582,13.461322455908686,84.77320962611066,15.403707265853882
